tool,famille,count,fractionOfUse,percentageOfUse
MS Word,Word et apparentés,18577,0.9135929969509197,91.35929969509196
Google Drive/Docs,Word et apparentés,6640,0.32654667060096393,32.65466706009639
LaTeX,format/éditeur apparenté à TeX,3754,0.1846168978066293,18.46168978066293
Scrivener,autres bureautique (wysiwyg),555,0.02729418707583358,2.729418707583358
Overleaf (=WriteLaTeX),format/éditeur apparenté à TeX,395,0.019425592603521197,1.9425592603521196
LibreOffice,autres bureautique (wysiwyg),267,0.01313071702567129,1.313071702567129
Dropbox,autres bureautique (wysiwyg),243,0.011950427854824431,1.195042785482443
Pages,autres bureautique (wysiwyg),242,0.01190124913937248,1.190124913937248
OpenOffice,Word et apparentés,215,0.010573423822169765,1.0573423822169765
Authorea,autres bureautique (wysiwyg),187,0.009196419789515098,0.9196419789515098
MS Powerpoint,autre,93,0.0045736205370315725,0.45736205370315725
Scalar,autre,85,0.004180190813415954,0.4180190813415954
EndNote,autre,85,0.004180190813415954,0.4180190813415954
Evernote,autre,83,0.004081833382512049,0.4081833382512049
MS Excel,autre,68,0.003344152650732763,0.3344152650732763
ShareLaTeX,format/éditeur apparenté à TeX,58,0.002852365496213239,0.2852365496213239
LyX,format/éditeur apparenté à TeX,54,0.0026556506344054295,0.2655650634405429
LibreOffice Writer,autres bureautique (wysiwyg),53,0.002606471918953477,0.2606471918953477
Adobe InDesign,autre,41,0.0020163273335300482,0.20163273335300483
WordPerfect,autres bureautique (wysiwyg),39,0.0019179699026261434,0.19179699026261435